NID,Time,EventName,DisasterType,Lon,Lat,C_Name,T_Name,Address,situation,TOWN_ID
168510,2016-9-29 16:27,梅姬颱風,土石流,120.48527,23.322312,臺南市,白河區,臺南市白河區關嶺里175線3.6公里處,175線3.6公里處土石崩落目前單線通行,6700300
168533,2016-9-29 15:44,梅姬颱風,道路阻斷,120.48527,23.322312,臺南市,白河區,臺南市白河區關嶺里175線2公里,175線2公里處過岩頂咖啡路基已淘空,6700300
168603,2016-9-29 13:45,梅姬颱風,道路阻斷,120.50459,23.338491,臺南市,白河區,臺南市白河區關子嶺24-10號,臺南市白河區關子嶺24-10號阿美民宿旁1999轉報民眾來電反映臺南市白河區關子嶺24-10號有大顆石頭滾下來擋住道路及水溝請盡速派員處理,6700300
168680,2016-9-29 11:36,梅姬颱風,道路阻斷,120.507574,23.026028,高雄市,杉林區,高雄市杉林區木梓里田仔頂,田仔頂道路土石崩塌阻擋通行,6403400
168745,2016-9-29 10:42,梅姬颱風,道路阻斷,120.580401,22.980264,高雄市,杉林區,高雄市杉林區新庄里,農路及箱涵阻塞(已通知開口合約廠商處理),6403400
168752,2016-9-29 10:32,梅姬颱風,土石崩落,120.537615,23.045577,高雄市,杉林區,高雄市杉林區木梓里,土石崩塌阻塞野溪損及農田(已通知本所開口合約廠商處理),6403400
162703,2016-9-29 08:11,梅姬颱風,土石崩落,120.64356,22.437091,屏東縣,來義鄉,屏東縣來義鄉南和村牌樓前,南和村牌樓前道路(屏115線)土石坍方其中有樹木壓到電線,1001330
163023,2016-9-28 19:07,梅姬颱風,邊坡坍方,120.401393,23.05186,臺南市,左鎮區,臺南市左鎮區左鎮里91-2號旁道路,附近道路坍塌請處理,6702600
163047,2016-9-28 18:59,梅姬颱風,土石流,120.447549,22.84274,高雄市,旗山區,高雄市旗山區新光里大洲國中,新光里大洲國中後方土石流淹水30CM,6403000
163142,2016-9-28 18:32,梅姬颱風,路基流失,120.312974,22.720653,高雄市,楠梓區,高雄市楠梓區後昌路,後昌路47巷與後昌路交叉口污水處理工程路面嚴重下陷，聯絡污水處理公司無人接聽,6400400
163402,2016-9-28 17:30,梅姬颱風,土石崩落,120.465764,22.84847,高雄市,旗山區,高雄市旗山區中寮一路,中寮一路過公墓路段及崑山路段有崩落石塊,6403000
163418,2016-9-28 17:26,梅姬颱風,道路阻斷,120.47234,22.875912,高雄市,旗山區,高雄市旗山區,路面坍塌,6403000
163448,2016-9-28 17:20,梅姬颱風,路基流失,120.176267,22.99744,臺南市,安平區,臺南市安平區華平路700號,人行步道下陷請處理,6703600
168847,2016-9-28 17:18,梅姬颱風,邊坡坍方,120.85301,24.191545,臺中市,東勢區,臺中市東勢區慶福里枝寮坑,1.路樹倒塌(本所農建課開口廠商於105.9.2911：05清除)2.邊坡滑落,6601000
163598,2016-9-28 16:48,梅姬颱風,道路阻斷,120.379834,22.564805,高雄市,小港區,高雄市小港區大坪里高松墓園,大坪里高松墓園產業道路《從高松往大平頂天主教公墓》方向，里長轉述有坍塌土石，請協助設封鎖線(昨日有已設封鎖，但被里民強行進入)。,6401100
163636,2016-9-28 16:43,梅姬颱風,土石崩落,120.250932,23.028915,臺南市,永康區,臺南市永康區復華6街,土坡崩落之路上也路樹倒塌,6703100
163769,2016-9-28 16:15,梅姬颱風,路基流失,121.5118,25.08809,臺北市,士林區,"中正路中正路往百齡橋高架環河引道,地標:百齡橋",路面坑洞，露出鋼筋，車輛經過要閃避長寬30X20公分深沒注意的洞,6301100
163777,2016-9-28 16:14,梅姬颱風,路基流失,121.5278,25.13772,臺北市,北投區,北投區行義路295號,路面掏空,6301200
168878,2016-9-28 16:02,梅姬颱風,路基流失,121.538,25.14404,臺北市,北投區,北投區紗帽路96號路燈到97號路燈間,北投區紗帽路96號路燈到97號路燈間,6301200
163856,2016-9-28 16:02,梅姬颱風,路基流失,120.591003,23.290868,嘉義縣,大埔鄉,嘉義縣大埔鄉,嘉129線33.7k處路基流失約20M,1001017
163936,2016-9-28 15:51,梅姬颱風,道路阻斷,120.715776,23.559799,嘉義縣,梅山鄉,嘉義縣梅山鄉太和村太和農會下方,土石崩塌阻斷道路169線通行,1001015
163986,2016-9-28 15:45,梅姬颱風,道路阻斷,120.628378,23.588153,嘉義縣,梅山鄉,嘉義縣梅山鄉龍眼村.碧湖村,坍方落石影響道路通行,1001015
164006,2016-9-28 15:43,梅姬颱風,路基流失,120.423626,23.385713,臺南市,白河區,臺南市白河區玉豐里頂崁頭1鄰2號,路基流失請處理,6700300
164033,2016-9-28 15:40,梅姬颱風,土石崩落,120.472652,22.873778,高雄市,旗山區,高雄市旗山區三協里武鹿坑28號,三協里武鹿坑28號附近磚牆倒落路面、大坑巷20號土石滑落，阻礙交通，大坑巷7號土石滑落，雨水流入民宅,6403000
164081,2016-9-28 15:34,梅姬颱風,路基流失,121.5599,24.98967,臺北市,文山區,興隆路四段55號門口,籃球大坑洞，深度目測2公分，靠近外側車道,6300800
164144,2016-9-28 15:28,梅姬颱風,路基流失,121.5797,25.03348,臺北市,信義區,松山路地標:公車站牌永春高中前方內車道上,永春高中站牌前3個大坑洞(約籃球大、深度15公分),6300200
164170,2016-9-28 15:25,梅姬颱風,邊坡坍方,120.588914,23.418887,嘉義縣,番路鄉,嘉義縣番路鄉,嘉義縣番路鄉4鄰瓦厝仔1號劉逸嬅農路不通,1001016
164186,2016-9-28 15:24,梅姬颱風,路基流失,121.5777,25.04981,臺北市,松山區,松山路上(約永春高中前公車站牌的內車道上),有2個大坑洞(約籃球大、深度15公分),6300100
164232,2016-9-28 15:15,梅姬颱風,邊坡坍方,121.296272,23.379526,花蓮縣,卓溪鄉,花蓮縣卓溪鄉卓溪村,農路邊坡坍方,1001513
164328,2016-9-28 15:05,梅姬颱風,路基流失,121.5599,24.98967,臺北市,文山區,興隆路四段55號55號前方,直徑30公分大約10公分深的坑洞,6300800
164332,2016-9-28 15:05,梅姬颱風,路基流失,120.644035,24.149219,臺中市,南屯區,臺中市南屯區惠中里惠文路588號,臺中市南屯區惠中里惠文路588號民災前路淘空(破洞)長寬30*20公分,6600700
164356,2016-9-28 15:02,梅姬颱風,土石崩落,121.067656,24.669005,新竹縣,北埔鄉,新竹縣北埔鄉外坪村觀音仙水前一百公尺處,落石,1000409
164427,2016-9-28 14:53,梅姬颱風,土石崩落,120.461412,22.81395,高雄市,旗山區,高雄市旗山區南勝里,旗山區南勝里台29線南下路段土牆崩塌，阻礙南下車道,6403000
164446,2016-9-28 14:50,梅姬颱風,路基流失,120.297228,22.691245,高雄市,左營區,高雄市左營區左營大路565號,"左營大路565號前人行道前掏空,用路人危險.",6400300
164503,2016-9-28 14:43,梅姬颱風,土石崩落,120.668127,23.002111,高雄市,六龜區,高雄市六龜區,土石崩落，公路無法通行，28日早上有見到怪手在處理，想詢問目前能否通行，請回覆蕭先生(0929095241),6403200
164568,2016-9-28 14:33,梅姬颱風,土石崩落,121.063023,24.688423,新竹縣,北埔鄉,新竹縣北埔鄉大林村8鄰二寮神木往大湖路段竹39-1,土石崩塌及樹木傾倒,1000409
164641,2016-9-28 14:24,梅姬颱風,路基流失,121.533,25.06211,臺北市,中山區,松江路366號前，中間車道,有一長約15公分，深約5公分左右的坑洞,6300400
164665,2016-9-28 14:22,梅姬颱風,路基流失,121.5011,25.1445,臺北市,北投區,大屯路93巷1號旁排水溝的旁邊道路,市民上述地點有共同堆起沙包，地面突起大量的水從旁流出，市民認為有地基流失掏空情形，希望單位前往確認(表示若有疑問可向市民聯繫，並有錄影存證有需要可向市民索取),6301200
164762,2016-9-28 14:10,梅姬颱風,土石流,120.473232,22.849639,高雄市,旗山區,高雄市旗山區大山里,大山里中寮一路二四之一號清水祖師爺後土石流，大山街68號淹水，大山街42號前樹倒,6403000
164956,2016-9-28 13:49,梅姬颱風,路基流失,121.5335,25.06383,臺北市,中山區,松江路364號,有2個坑洞(一個約20cm大小、深約5-10cm，另一個約10cm大小，深度無法提供),6300400
165008,2016-9-28 13:43,梅姬颱風,路基流失,120.290975,22.674971,高雄市,左營區,高雄市左營區城峰路東門路大義國中旁邊,城峰路東門路大義國中旁邊有地層下陷.,6400300
165050,2016-9-28 13:37,梅姬颱風,道路阻斷,120.582117,23.564473,嘉義縣,梅山鄉,嘉義縣梅山鄉半天村4鄰村道,1.落石影響交通安全2.村長已請村民移至路旁,1001015
165163,2016-9-28 13:27,梅姬颱風,土石崩落,121.747484,24.42378,宜蘭縣,南澳鄉,宜蘭縣南澳鄉金洋村,土石崩落,1000212
165221,2016-9-28 13:22,梅姬颱風,路基流失,120.562944,22.98661,高雄市,杉林區,高雄市杉林區,高129線4.1K道路下陷無法通行,6403400
165236,2016-9-28 13:21,梅姬颱風,土石崩落,121.781173,24.481974,宜蘭縣,南澳鄉,宜蘭縣南澳鄉金岳村,有落石及路樹倒塌,1000212
165303,2016-9-28 13:13,梅姬颱風,邊坡坍方,120.642512,23.408435,嘉義縣,番路鄉,嘉義縣番路鄉公興村,"嘉義縣番路鄉公興村龍美地區,腦寮地區農路不通.",1001016
165317,2016-9-28 13:12,梅姬颱風,邊坡坍方,120.561803,22.905842,高雄市,美濃區,高雄市美濃區成功路380巷49-1號,擋土牆崩落，阻擋水路、道路,6403100
165344,2016-9-28 13:09,梅姬颱風,土石崩落,120.517392,23.356984,嘉義縣,中埔鄉,嘉義縣中埔鄉三層村105號,土石崩落交通受阻停電,1001013
165354,2016-9-28 13:08,梅姬颱風,土石崩落,121.5438,25.17561,臺北市,北投區,北投區竹仔湖路產業道路2+500處邊坡土石滑落，妨礙交通,北投區竹仔湖路產業道路2+500處邊坡土石滑落，妨礙交通,6301200
165371,2016-9-28 13:06,梅姬颱風,邊坡坍方,120.636302,23.417099,嘉義縣,番路鄉,嘉義縣番路鄉公興村6鄰,嘉義縣番路鄉公興村5鄰通往6鄰東竹湖村里道路不通,1001016
165393,2016-9-28 13:03,梅姬颱風,土石流,120.47234,22.875912,高雄市,旗山區,高雄市旗山區,壹電視、中天電視報導旗山區土石流壓民宅受困請查明回報,6403000
165413,2016-9-28 13:02,梅姬颱風,土石崩落,120.492271,22.893076,高雄市,旗山區,高雄市旗山區東平里竹寮巷,東平里竹寮巷多處山壁坍方,6403000
165415,2016-9-28 13:02,梅姬颱風,邊坡坍方,120.726137,22.765472,屏東縣,霧臺鄉,屏東縣霧臺鄉佳暮村,佳暮原鄉聯絡道路上方土石崩塌,1001327
165447,2016-9-28 12:58,梅姬颱風,土石崩落,120.603275,23.445495,嘉義縣,番路鄉,嘉義縣番路鄉觸口村嘉124線,觸口村長前面往觸口替代道路山崩(嘉124線),1001016
165505,2016-9-28 12:52,梅姬颱風,土石崩落,121.375455,24.72968,桃園市,復興區,桃園市復興區華陵村中心路148號-道路坍方無法通行,桃園市復興區華陵村中心路148號-道路坍方無法通行(影響戶數:1戶-該路為住戶出入處),6801300
165652,2016-9-28 12:34,梅姬颱風,土石崩落,120.447549,22.84274,高雄市,旗山區,高雄市旗山區新光里中寮二路高41線,新光里中寮二路高41線1K+300，1K+500，3K+200,6403000
165709,2016-9-28 12:28,梅姬颱風,路基流失,121.5677,25.03317,臺北市,信義區,信義路五段17號信義分局正前方斑馬線上,上述地點有一個大坑洞，坑洞約兩個籃球大坑洞，深度約十公分深，希望局處單位盡快處理，擔心之後有人騎摩托車經過容易跌倒,6300200
165751,2016-9-28 12:23,梅姬颱風,路基流失,120.325477,22.604875,高雄市,前鎮區,高雄市前鎮區瑞豐里瑞隆路623號,瑞豐里瑞隆路623號前，大馬路上路面龜裂恐下陷，目前已放三角椎,6400900
165798,2016-9-28 12:16,梅姬颱風,土石崩落,120.492118,23.373972,嘉義縣,中埔鄉,嘉義縣中埔鄉三層村官真閂5號,土石崩影響道路交通家裡有2位老人無法出來(家屬正從北部南下)2.會等雨小再派人清理土石，目前老人家一切安全，並已連絡黃先生。3.中埔公所陳聖維先生說預估下午5、6點清理完畢,1001013
165811,2016-9-28 12:15,梅姬颱風,路基流失,121.5717,25.03264,臺北市,信義區,信義路五段17號信義分局前方斑馬線上,一個坑洞在側邊馬路上，大小約1個半籃球大，深度約10公分,6300200
165963,2016-9-28 12:01,梅姬颱風,土石崩落,120.379185,22.788999,高雄市,燕巢區,高雄市燕巢區東燕里中民路61巷3之22號,淹?民宅,6402100
166134,2016-9-28 11:47,梅姬颱風,土石崩落,121.732698,25.129951,基隆市,安樂區,基隆市安樂區崇德路82巷42號,"基隆市安樂區崇德路82巷42號,土石掏空,大樹滑落",1001706
166343,2016-9-28 11:32,梅姬颱風,土石流,120.372681,22.789307,高雄市,燕巢區,高雄市燕巢區深水里靜合醫院對面,靜合醫院對面4米路旁山壁崩落，土石滑動，請通知報案人,6402100
166381,2016-9-28 11:28,梅姬颱風,邊坡坍方,120.630614,23.547448,嘉義縣,梅山鄉,嘉義縣梅山鄉瑞峰村瑞峰國小南側產業道路上下方坍方,阻斷竹坑溪步道通行,1001015
166438,2016-9-28 11:25,梅姬颱風,土石崩落,121.739346,25.113567,基隆市,仁愛區,基隆市仁愛區南榮路200巷4號,對面山坡崩坍，有影響排水之虞。,1001704
166495,2016-9-28 11:22,梅姬颱風,土石流,121.536856,23.835679,花蓮縣,壽豐鄉,花蓮縣壽豐鄉月眉村,月眉村花193線29K~米棧村花193線46K多處坍方阻礙交通,1001506
166543,2016-9-28 11:19,梅姬颱風,道路阻斷,120.555844,22.982681,高雄市,杉林區,高雄市杉林區新庄里,新和社區簡易自來水源頭往井子角道路崩塌不能通行,6403400
166547,2016-9-28 11:19,梅姬颱風,土石崩落,120.465647,22.880221,高雄市,旗山區,高雄市旗山區三協里台28線27K,旗山區三協里台28線27K處土石滑落佔2車道,6403000
166580,2016-9-28 11:16,梅姬颱風,土石崩落,120.461412,22.81395,高雄市,旗山區,高雄市旗山區南勝里台29線,旗山區南勝里台29線往大樹方向土石崩落單向通行,6403000
166646,2016-9-28 11:11,梅姬颱風,道路阻斷,120.628378,23.588153,嘉義縣,梅山鄉,嘉義縣梅山鄉龍眼村151線後棟,近古坑鄉樟湖村與本鄉交接處多處落石,1001015
166699,2016-9-28 11:08,梅姬颱風,路基流失,121.5356,24.99604,臺北市,中正區,"往新店方向，在路燈180-181之間快到師大路，在外側車道，橋面上,地標:水源快速道路",坑洞約70*70cm,6300500
166710,2016-9-28 11:07,梅姬颱風,路基流失,121.5343,25.0446,臺北市,大安區,大安區八德路二段16號,路面坑洞,6300300
166734,2016-9-28 11:05,梅姬颱風,土石崩落,120.524418,23.462495,嘉義縣,番路鄉,嘉義縣番路鄉新福村五虎寮,嘉126-1五虎寮道路落石多處，影響交通,1001016
166814,2016-9-28 10:59,梅姬颱風,路基流失,121.5547,25.0417,臺北市,大安區,忠孝東路4段289號路面坑洞,路面坑洞,6300300
166865,2016-9-28 10:55,梅姬颱風,道路阻斷,120.621047,23.632997,雲林縣,古坑鄉,雲林縣古坑鄉149縣道32-33阿比加咖啡附近落石,道路落石,1000907
166900,2016-9-28 10:52,梅姬颱風,路基流失,121.5281,25.06285,臺北市,中山區,民權東路二段1號前方快車道上,"快車道上有坑洞,長30公分、寬10幾公分、深5公分",6300400
166909,2016-9-28 10:51,梅姬颱風,道路阻斷,120.620382,23.475119,嘉義縣,番路鄉,嘉義縣番路鄉大湖村5鄰大凹,大湖村5鄰大凹地區村里道路、10鄰火燒?地區村里道路均土石滑落，無法通行。,1001016
169086,2016-9-28 10:50,梅姬颱風,土石崩落,121.5711,24.96462,臺北市,文山區,老泉街26巷與45巷，整路,沿路落石掉落影響通行,6300800
166957,2016-9-28 10:48,梅姬颱風,路基流失,121.5196,25.06305,臺北市,中山區,民權西路79號前方馬路近斑馬線,路面下陷30*30公分,6300400
166993,2016-9-28 10:45,梅姬颱風,土石流,120.562944,22.98661,高雄市,杉林區,高雄市杉林區杉林里,白水泉道路土石滑落及竹子倒塌,6403400
167108,2016-9-28 10:39,梅姬颱風,路基流失,121.5281,25.06285,臺北市,中山區,民權東路二段1號前,路面坑洞有一公尺長深10幾公分,6300400
167129,2016-9-28 10:38,梅姬颱風,土石崩落,120.562944,22.98661,高雄市,杉林區,高雄市杉林區杉林里,普賢靈修院道路土石滑落無法通行,6403400
167160,2016-9-28 10:36,梅姬颱風,道路阻斷,120.642512,23.408435,嘉義縣,番路鄉,嘉義縣番路鄉公興村,阿里山公路(台18線)34.8K及56K處道路坍方無法通行。42K及50.5K土石流佔據半個路面，另41.8K處不通。,1001016
167240,2016-9-28 10:33,梅姬颱風,道路阻斷,120.688335,22.669456,屏東縣,瑪家鄉,屏東縣瑪家鄉,涼山村牛角灣溪旁道路有坍方現象無法通行請派員處理,1001328
155572,2016-9-28 10:31,梅姬颱風,邊坡坍方,120.647713,22.709143,屏東縣,瑪家鄉,屏東縣瑪家鄉北葉村,往北葉國小就是瑪家分隊上方道路有邊坡坍方，造成學童上放學交通阻礙危險，請派員處理,1001328
155576,2016-9-28 10:30,梅姬颱風,道路阻斷,120.802942,22.748021,屏東縣,霧臺鄉,屏東縣霧臺鄉,1.台24線42K處道路落石及樹木斷枝阻斷交通,1001327
167295,2016-9-28 10:28,梅姬颱風,道路阻斷,120.612632,23.417387,嘉義縣,番路鄉,嘉義縣番路鄉公興村7鄰腦?地區,公興村7鄰台18線往腦?地區村里道路全線無法通車。,1001016
155641,2016-9-28 10:25,梅姬颱風,道路阻斷,120.639904,23.552859,嘉義縣,梅山鄉,嘉義縣梅山鄉瑞里村166線,沿線多處落石路樹倒伏,1001015
155679,2016-9-28 10:22,梅姬颱風,道路阻斷,120.573093,23.553221,嘉義縣,梅山鄉,嘉義縣梅山鄉安靖村嘉115線,1.沿線落石路樹倒伏2.村長已先行處理部分災情,1001015
155765,2016-9-28 10:17,梅姬颱風,邊坡坍方,120.622041,23.54346,嘉義縣,梅山鄉,嘉義縣梅山鄉太興村154線泰興岩旁,道路崩塌影響道路通行,1001015
155769,2016-9-28 10:17,梅姬颱風,道路阻斷,120.647939,22.703441,屏東縣,瑪家鄉,屏東縣瑪家鄉瑪家村,往舊瑪家的北瑪道路多處有落石坍坊，人車無法通行,1001328
155782,2016-9-28 10:16,梅姬颱風,土石流,120.562944,22.98661,高雄市,杉林區,高雄市杉林區,杉林里高129線(從第四公墓旁)往內灣土石流道路未通,6403400
167379,2016-9-28 10:09,梅姬颱風,邊坡坍方,121.6097,25.05061,臺北市,南港區,忠孝東路七段478巷12號,邊坡落石影響交通,6300900
155918,2016-9-28 10:07,梅姬颱風,土石崩落,121.707011,25.144161,基隆市,安樂區,基隆市安樂區,"基隆市安樂區內寮澳底產業道路,快到湖海路涼亭前,有落石狀況",1001706
155929,2016-9-28 10:07,梅姬颱風,土石崩落,120.562944,22.98661,高雄市,杉林區,高雄市杉林區集來里,火山橋前(台29線)250公尺處土石滑落,6403400
167436,2016-9-28 10:01,梅姬颱風,土石崩落,121.5918,24.96869,臺北市,文山區,指南路38巷37-1號前150公尺土石崩落,指南路38巷37-1號前150公尺土石崩落,6300800
167446,2016-9-28 10:00,梅姬颱風,道路阻斷,120.629629,23.57383,嘉義縣,梅山鄉,嘉義縣梅山鄉碧湖村162甲線,1.太平往碧湖村沿線落石樹倒2.小車可通行.目前處理中,1001015
156085,2016-9-28 09:57,梅姬颱風,土石流,120.69137,23.10321,高雄市,六龜區,高雄市六龜區寶來里高133線寶來0K+500沿線,多處土石流,6403200
156091,2016-9-28 09:57,梅姬颱風,土石崩落,120.621047,23.632997,雲林縣,古坑鄉,雲林縣古坑鄉牛奶村小坍方,古坑鄉牛奶村小坍方(一萬方)(古坑鄉災害應變中心通報)，影響通行,1000907
156102,2016-9-28 09:56,梅姬颱風,土石流,120.69137,23.10321,高雄市,六龜區,高雄市六龜區寶來里新寶來溫泉山莊,土石流沖刷至路面，無法通行,6403200
167458,2016-9-28 09:55,梅姬颱風,土石崩落,121.060625,24.636007,新竹縣,北埔鄉,新竹縣北埔鄉外坪村6鄰觀音仙水往永茂山莊農路約500公尺處及600公尺處,土石坍塌(大石塊無法移除，樹倒已先行移除),1000409
156178,2016-9-28 09:51,梅姬颱風,邊坡坍方,120.543859,23.072487,臺南市,南化區,臺南市南化區玉山里,臺20線雲山寺前48.5K、50-51K，土石崩落，目前無法通行。,6702500
167484,2016-9-28 09:49,梅姬颱風,路基流失,121.5654,25.06665,臺北市,松山區,撫遠街411號前方快車道,100公分長及30公分深坑洞,6300100
156214,2016-9-28 09:48,梅姬颱風,土石崩落,120.562944,22.98661,高雄市,杉林區,高雄市杉林區,杉林大橋往內灣方向土石崩落,6403400
156255,2016-9-28 09:45,梅姬颱風,土石崩落,120.668127,23.002111,高雄市,六龜區,高雄市六龜區新發里媽祖廟,土砂下移至路面，阻礙通行,6403200
156286,2016-9-28 09:44,梅姬颱風,土石流,120.392033,22.662365,高雄市,鳥松區,高雄市鳥松區中山西路115號,華美公園後方土石流落,6401800
156388,2016-9-28 09:36,梅姬颱風,邊坡坍方,120.802942,22.748021,屏東縣,霧臺鄉,屏東縣霧臺鄉,1.台24線35.6處土石坍方交通中斷,1001327
156418,2016-9-28 09:34,梅姬颱風,邊坡坍方,121.282099,24.5963,新竹縣,尖石鄉,新竹縣尖石鄉,司馬庫斯聯絡道1K+300.2K+00處土石坍塌及落石,1000412
156419,2016-9-28 09:34,梅姬颱風,土石流,120.48527,23.322312,臺南市,白河區,臺南市白河區關嶺里172線42.5K,關嶺里172線42.5K,6700300
167548,2016-9-28 09:34,梅姬颱風,路基流失,121.5053,25.11692,臺北市,北投區,尊賢街245巷40號前方,路面有一坑洞(不確定大小),6301200
156439,2016-9-28 09:33,梅姬颱風,邊坡坍方,121.282099,24.5963,新竹縣,尖石鄉,新竹縣尖石鄉,竹60縣道29.5K土石坍塌道路中斷,1000412
156451,2016-9-28 09:32,梅姬颱風,路基流失,121.282099,24.5963,新竹縣,尖石鄉,新竹縣尖石鄉,竹60縣道比鱗橋往部落方向1.5K處地基塌陷,1000412
156465,2016-9-28 09:31,梅姬颱風,邊坡坍方,121.282099,24.5963,新竹縣,尖石鄉,新竹縣尖石鄉,竹58縣道往上水田方向100公尺處坍方，單向通車,1000412
156481,2016-9-28 09:30,梅姬颱風,土石崩落,120.621733,23.464674,嘉義縣,番路鄉,嘉義縣番路鄉大湖村8鄰雙溪地區,大湖村8鄰雙溪地區三處土石滑落，道路無法通行。,1001016
156486,2016-9-28 09:30,梅姬颱風,道路阻斷,121.282099,24.5963,新竹縣,尖石鄉,新竹縣尖石鄉,竹58縣道2.5K處土石坍塌及落石,1000412
