NID,Time,EventName,DisasterType,DisasterSubType,Lon,Lat,C_Name,T_Name,situation
162763,2016-9-28 22:28,梅姬颱風,民生、基礎設施災情,電力停電,120.457503,24.119672,彰化縣,線西鄉  ,線西鄉沿海路1段779號左右100公尺停電
162764,2016-9-28 22:25,梅姬颱風,民生、基礎設施災情,電力停電,120.539696,24.100041,彰化縣,和美鎮  ,和美鎮東谷路沿路
162765,2016-9-28 22:18,梅姬颱風,民生、基礎設施災情,電力停電,120.570683,24.254641,臺中市,沙鹿區  ,里長：鹿峰里星河路206-5巷電以來，但只有25.27.32.36四戶無電，以前都被漏掉。請盡速處理。
162766,2016-9-28 22:17,梅姬颱風,民生、基礎設施災情,電線（桿）毀損,120.309383,22.673117,高雄市,左營區  ,高雄市左營區菜公里崇德路與博愛路口有懸空的電線
162768,2016-9-28 22:14,梅姬颱風,民生、基礎設施災情,電力停電,120.653277,24.258982,臺中市,神岡區  ,臺中市神岡區圳前里圳前路26-35號及圳堵國小三民路附近
162771,2016-9-28 22:13,梅姬颱風,民生、基礎設施災情,電力停電,120.469269,23.675908,雲林縣,斗南鎮  ,雲林縣斗南鎮建國二路317號周遭區域仍停電中
162773,2016-9-28 22:09,梅姬颱風,民生、基礎設施災情,電線（桿）毀損,120.565406,24.217376,臺中市,沙鹿區  ,   電線脫落
162776,2016-9-28 21:56,梅姬颱風,民生、基礎設施災情,電力停電,120.269155,22.86542,高雄市,路竹區  ,社東里全里停電，尚未復電。
162778,2016-9-28 21:55,梅姬颱風,民生、基礎設施災情,電力停電,120.610356,24.118051,臺中市,烏日區  ,學田路312巷81弄33號附近約5戶停電
162779,2016-9-28 21:53,梅姬颱風,民生、基礎設施災情,電力停電,120.27308,22.870015,高雄市,路竹區  ,電力停電
162780,2016-9-28 21:44,梅姬颱風,民生、基礎設施災情,電力停電,120.633256,24.242227,臺中市,大雅區  , 停電
162782,2016-9-28 21:39,梅姬颱風,民生、基礎設施災情,電力停電,120.555408,24.002499,彰化縣,花壇鄉  ,大彰路(夜景餐廳)停電
162784,2016-9-28 21:31,梅姬颱風,民生、基礎設施災情,電力停電,120.610449,24.139371,臺中市,南屯區  ,臺中市南屯區義芳街88-2號停電，簡月珍小姐tel:23809369
162786,2016-9-28 21:21,梅姬颱風,民生、基礎設施災情,電力停電,120.297168,22.725608,高雄市,楠梓區  ,德豐街公園以南附近從昨天停電至今尚未復電
162787,2016-9-28 21:16,梅姬颱風,民生、基礎設施災情,電力停電,120.635777,24.144048,臺中市,南屯區  ,臺中市南屯區三厝街59號停電
162788,2016-9-28 21:13,梅姬颱風,民生、基礎設施災情,電力停電,120.635602,24.141478,臺中市,南屯區  ,臺中市南屯區南屯路二段902號停電
162791,2016-9-28 21:09,梅姬颱風,民生、基礎設施災情,電力停電,120.614745,24.139808,臺中市,南屯區  ,臺中市南屯區文山東巷12弄22號、26號、28號停電
162792,2016-9-28 21:08,梅姬颱風,民生、基礎設施災情,電力停電,120.558385,24.252555,臺中市,沙鹿區  , 台中市沙鹿區星美路60多號 整排沒電
162795,2016-9-28 21:00,梅姬颱風,民生、基礎設施災情,電力停電,120.338381,22.881666,高雄市,阿蓮區  ,住戶停電
162796,2016-9-28 20:58,梅姬颱風,民生、基礎設施災情,電力停電,120.735196,24.250148,臺中市,豐原區  ,停電已兩天
162798,2016-9-28 20:58,梅姬颱風,民生、基礎設施災情,電力停電,120.668873,24.235009,臺中市,大雅區  ,大雅市區有供電，僅上楓里無電，令人感覺為次等公民，希望盡速復電。
162799,2016-9-28 20:57,梅姬颱風,民生、基礎設施災情,電力停電,120.478192,23.677113,雲林縣,斗南鎮  ,斗南鎮明昌里二重溝部落仍停電狀態
162800,2016-9-28 20:56,梅姬颱風,民生、基礎設施災情,自來水停水,120.727928,24.154326,臺中市,太平區  ,停水已一天，要求盡速修復
162801,2016-9-28 20:56,梅姬颱風,民生、基礎設施災情,電力停電,120.626279,24.183858,臺中市,西屯區  ,停電長達24小時，民生用電尚未復電，路燈已恢復供電，撥打台電客服不通，建請協助。
162802,2016-9-28 20:56,梅姬颱風,民生、基礎設施災情,電力停電,120.612138,24.186533,臺中市,西屯區  ,西屯區福科路655巷1弄17號，附近住家停電，希望儘速修復並請台電人員與其聯繫  
162803,2016-9-28 20:55,梅姬颱風,民生、基礎設施災情,電力停電,120.433479,23.679289,雲林縣,斗南鎮  ,斗南鎮新崙里新崙路整個部落仍停電狀態
162807,2016-9-28 20:54,梅姬颱風,民生、基礎設施災情,電力停電,120.626279,24.183858,臺中市,西屯區  ,傍晚已有復電一次，目前再度停電，希望儘速處理。 
162809,2016-9-28 20:53,梅姬颱風,民生、基礎設施災情,電力停電,120.463984,23.67805,雲林縣,斗南鎮  ,斗南鎮中興路238號到東明國中一帶仍停電狀態
162810,2016-9-28 20:53,梅姬颱風,民生、基礎設施災情,電線（桿）毀損,120.595027,24.301232,臺中市,清水區  ,清水區中華北路與臨港路七段，電桿壓到交通號誌的電線，電桿壓到交通號誌的電線，導致電線垂落
162812,2016-9-28 20:51,梅姬颱風,民生、基礎設施災情,電力停電,120.470483,23.674515,雲林縣,斗南鎮  ,斗南鎮明昌路整條路仍停電狀態
162813,2016-9-28 20:49,梅姬颱風,民生、基礎設施災情,電力停電,120.556823,24.26588,臺中市,清水區  ,附近大範圍停電，民眾表示於9月27日下午已通報台電，建請儘速復電。
162814,2016-9-28 20:49,梅姬颱風,民生、基礎設施災情,電力停電,120.562804,24.242828,臺中市,沙鹿區  ,9月27日下午三點電箱掉落，尚未供電
162815,2016-9-28 20:48,梅姬颱風,民生、基礎設施災情,電力停電,120.332779,22.738126,高雄市,楠梓區  ,清豐里土庫五路259號停電
162817,2016-9-28 20:47,梅姬颱風,民生、基礎設施災情,電力停電,120.611492,24.139449,臺中市,南屯區  ,停電近兩天
162819,2016-9-28 20:46,梅姬颱風,民生、基礎設施災情,電力停電,120.579902,24.219202,臺中市,沙鹿區  ,停電近兩天
162820,2016-9-28 20:46,梅姬颱風,民生、基礎設施災情,電力停電,120.723744,24.254326,臺中市,豐原區  ,中正路(豐原大道與大豐路五段)，附近部分已復電，但該區段仍無電可用
162822,2016-9-28 20:43,梅姬颱風,民生、基礎設施災情,電力停電,120.631985,24.183078,臺中市,西屯區  ,無電可用，希望盡速修復
162823,2016-9-28 20:42,梅姬颱風,民生、基礎設施災情,電力停電,120.638348,24.18092,臺中市,西屯區  ,整條巷子皆無電可用，希望盡速修復
162824,2016-9-28 20:42,梅姬颱風,民生、基礎設施災情,電力停電,120.707517,24.244791,臺中市,豐原區  ,前後左右都有電，但此巷已第三天沒電
162825,2016-9-28 20:42,梅姬颱風,民生、基礎設施災情,電線（桿）毀損,120.614745,24.139808,臺中市,南屯區  ,有一電線垂落，目前停電，請盡快修復
162826,2016-9-28 20:42,梅姬颱風,民生、基礎設施災情,電力停電,120.575251,24.242733,臺中市,沙鹿區  ,已停電30幾小時
162827,2016-9-28 20:42,梅姬颱風,民生、基礎設施災情,電力停電,120.68317,24.246428,臺中市,神岡區  ,附近今早曾復電，下午3.4再度停電
162828,2016-9-28 20:42,梅姬颱風,民生、基礎設施災情,電信停話,120.291576,22.684906,高雄市,左營區  ,"高雄市左營區聖后里店仔頂街26巷電話線掉落,請派員修復"
162829,2016-9-28 20:41,梅姬颱風,民生、基礎設施災情,電力停電,120.562477,24.243359,臺中市,沙鹿區  ,停電沒水可用，請盡快修復
162833,2016-9-28 20:38,梅姬颱風,民生、基礎設施災情,電力停電,120.595175,24.350464,臺中市,大安區  ,附近約有二十戶尚未復電，且台電人員與當地住戶約下午五點要前往搶修，但至今尚未到場，住戶目前仍在路口等候，建請協助了解並儘速復電。
162836,2016-9-28 20:34,梅姬颱風,民生、基礎設施災情,電線（桿）毀損,120.583611,24.111712,臺中市,烏日區  ,快到大肚橋，全國加油站對面，台中往彰化方向，台電現線桿漏電，有火花
162838,2016-9-28 20:32,梅姬颱風,民生、基礎設施災情,電力停電,120.623739,24.135863,臺中市,南屯區  ,稍早開始停電，該處為營業場所，因停電無法關門，相當緊急。 
162839,2016-9-28 20:30,梅姬颱風,民生、基礎設施災情,電力停電,120.700922,24.163056,臺中市,北屯區  ,北興里天祥街225巷31號停電
162841,2016-9-28 20:29,梅姬颱風,民生、基礎設施災情,電力停電,120.827053,24.242168,臺中市,東勢區  ,住戶停電
162842,2016-9-28 20:27,梅姬颱風,民生、基礎設施災情,電線（桿）毀損,120.581667,24.219345,臺中市,沙鹿區  ,弘光大學至晉文路301巷電線垂落
162844,2016-9-28 20:26,梅姬颱風,民生、基礎設施災情,電力停電,120.61204,24.186542,臺中市,西屯區  ,停電(附近有點，該址無電)
162846,2016-9-28 20:26,梅姬颱風,民生、基礎設施災情,電力停電,120.671787,24.193357,臺中市,北屯區  ,停電近兩天
162847,2016-9-28 20:25,梅姬颱風,民生、基礎設施災情,電力停電,120.563261,24.242424,臺中市,沙鹿區  , 停電
162848,2016-9-28 20:25,梅姬颱風,民生、基礎設施災情,電力停電,120.73055,24.15655,臺中市,太平區  ,該址後連續12間停電，疑似開關未切換導致
162849,2016-9-28 20:25,梅姬颱風,民生、基礎設施災情,電力停電,120.568062,24.198784,臺中市,沙鹿區  ,附近有電，該址這條街沒電
162852,2016-9-28 20:22,梅姬颱風,民生、基礎設施災情,電力停電,120.678985,24.193395,臺中市,北屯區  ,台電外包商下午4點已將線路拉好，但卻尚未送電，煩請盡速協助確認
162853,2016-9-28 20:22,梅姬颱風,民生、基礎設施災情,電力停電,120.550604,24.198459,臺中市,龍井區  ,電箱電線脫落造成附近住戶停電已30多小時，多次通報未見人員前往查看修復，要求單位盡速派員處理
162854,2016-9-28 20:21,梅姬颱風,民生、基礎設施災情,電力停電,120.562804,24.242828,臺中市,沙鹿區  ,9月27日下午三點電箱掉落，尚未供電
162857,2016-9-28 20:20,梅姬颱風,民生、基礎設施災情,電力停電,120.771844,24.130151,臺中市,太平區  ,停電超過24小時
162858,2016-9-28 20:18,梅姬颱風,民生、基礎設施災情,電力停電,120.650607,24.171225,臺中市,西屯區  ,已停電2天，造成民眾生活極大不便，希望盡速修復。
162860,2016-9-28 20:18,梅姬颱風,民生、基礎設施災情,電力停電,120.730008,24.18798,臺中市,北屯區  ,停電已2天，建請派員前往修復
162862,2016-9-28 20:18,梅姬颱風,民生、基礎設施災情,電線（桿）毀損,120.698993,24.248698,臺中市,神岡區  ,神岡區中山路與民生路口附近，今早6點曾復電，下午3.4點又沒電
162864,2016-9-28 20:16,梅姬颱風,民生、基礎設施災情,電力停電,120.60119,24.258854,臺中市,沙鹿區  ,已停電36小時
162865,2016-9-28 20:16,梅姬颱風,民生、基礎設施災情,電力停電,120.467564,22.853316,高雄市,旗山區  ,大山里旗南二路100之1號至112號之間停電
162868,2016-9-28 20:15,梅姬颱風,民生、基礎設施災情,電力停電,120.252409,22.740447,高雄市,梓官區  ,高雄市梓官區赤東里赤崁東路130巷22號、182巷，民眾通報停電。
162869,2016-9-28 20:15,梅姬颱風,民生、基礎設施災情,電力停電,120.609956,24.138955,臺中市,南屯區  ,住戶停電已有10個小時
162870,2016-9-28 20:14,梅姬颱風,民生、基礎設施災情,電力停電,120.624416,24.186088,臺中市,西屯區  ,下午四五點恢復電，三小時不到又斷電
162871,2016-9-28 20:14,梅姬颱風,民生、基礎設施災情,自來水停水,120.728047,24.154467,臺中市,太平區  ,未有停水公告，經了解只有減壓，卻完全無水可用，請回覆為何無水可用
162875,2016-9-28 20:12,梅姬颱風,民生、基礎設施災情,電力停電,120.539921,24.248039,臺中市,梧棲區  ,已停電許久
162876,2016-9-28 20:12,梅姬颱風,民生、基礎設施災情,電力停電,120.681101,24.252295,臺中市,神岡區  ,凌晨已恢復供電，但下午4點左右又停電
162877,2016-9-28 20:12,梅姬颱風,民生、基礎設施災情,電力停電,120.57496,24.243037,臺中市,沙鹿區  ,住戶停電
162879,2016-9-28 20:10,梅姬颱風,民生、基礎設施災情,電力停電,120.615533,24.156253,臺中市,南屯區  ,附近一帶停電
162880,2016-9-28 20:10,梅姬颱風,民生、基礎設施災情,電線（桿）毀損,120.618326,24.188972,臺中市,西屯區  ,電線垂落，恐車輛經過勾到
162882,2016-9-28 20:09,梅姬颱風,民生、基礎設施災情,電力停電,120.698515,24.248955,臺中市,神岡區  ,晚上有復電後現在又停電
162883,2016-9-28 20:09,梅姬颱風,民生、基礎設施災情,電力停電,120.591393,24.345914,臺中市,大安區  ,陳情人表示大甲區皆供電，僅大安區未供電，住家鐵門無法開啟，自來水亦因馬達沒電無法抽水，無水可用，請盡速修復
162887,2016-9-28 20:08,梅姬颱風,民生、基礎設施災情,電力停電,120.614578,24.15314,臺中市,南屯區  ,昨天中午十二點停電至今，建請儘速復電。
162888,2016-9-28 20:06,梅姬颱風,民生、基礎設施災情,電力停電,120.590992,24.337985,臺中市,大安區  ,附近已供電，該區未供電
162889,2016-9-28 20:06,梅姬颱風,民生、基礎設施災情,電線（桿）毀損,120.274669,22.650579,高雄市,鼓山區  ,該地點電線掉落，恐有漏電之虞，請台電儘速派員處理，以維居民安全
162891,2016-9-28 20:05,梅姬颱風,民生、基礎設施災情,電力停電,120.664139,24.314144,臺中市,后里區  ,附近均已復電，惟該戶還沒有電可用
162892,2016-9-28 20:05,梅姬颱風,民生、基礎設施災情,電力停電,120.625777,24.11433,臺中市,南屯區  ,停電已兩天
162895,2016-9-28 20:02,梅姬颱風,民生、基礎設施災情,電力停電,120.574572,24.159434,臺中市,大肚區  ,遊園路1段70巷18號、72北巷、150巷停電
162896,2016-9-28 20:02,梅姬颱風,民生、基礎設施災情,電力停電,120.615035,24.1538,臺中市,南屯區  ,九月二八下午來電一下又斷電
162898,2016-9-28 20:01,梅姬颱風,民生、基礎設施災情,電力停電,120.595459,24.187681,臺中市,龍井區  ,附近已供電，這區尚未供電
162899,2016-9-28 20:00,梅姬颱風,民生、基礎設施災情,電力停電,120.550025,24.275839,臺中市,清水區  ,停電
162901,2016-9-28 19:59,梅姬颱風,民生、基礎設施災情,電力停電,120.323677,22.628601,高雄市,苓雅區  ,同慶里同慶路全線停電
162905,2016-9-28 19:58,梅姬颱風,民生、基礎設施災情,電力停電,120.5593,24.235071,臺中市,沙鹿區  ,停電已2天，建請派員修復，多次撥打台電客服不通，建請協助。
162906,2016-9-28 19:57,梅姬颱風,民生、基礎設施災情,電力停電,120.681949,24.233007,臺中市,大雅區  ,附近大範圍停電已2天
162907,2016-9-28 19:57,梅姬颱風,民生、基礎設施災情,電線（桿）毀損,120.675523,24.100781,臺中市,大里區  ,電線垂落
162908,2016-9-28 19:57,梅姬颱風,民生、基礎設施災情,自來水停水,120.559669,24.273832,臺中市,清水區  ,附近大範圍停水
162909,2016-9-28 19:53,梅姬颱風,民生、基礎設施災情,電力停電,120.559669,24.273832,臺中市,清水區  ,附近大範圍停電，但民享路已復電
162910,2016-9-28 19:52,梅姬颱風,民生、基礎設施災情,電力停電,120.620536,24.171587,臺中市,西屯區  ,停電已2天，建請派員前往修復
162912,2016-9-28 19:51,梅姬颱風,民生、基礎設施災情,電力停電,120.603727,24.136289,臺中市,南屯區  ,停電已2天，建請派員前往修復
162913,2016-9-28 19:51,梅姬颱風,民生、基礎設施災情,電力停電,120.504034,24.088888,彰化縣,和美鎮  ,2016/09/28 19:51:16 - 停電
162914,2016-9-28 19:50,梅姬颱風,民生、基礎設施災情,電力停電,120.611801,24.139765,臺中市,南屯區  ,停電已2天，建請派員前往修復
162915,2016-9-28 19:50,梅姬颱風,民生、基礎設施災情,電線（桿）毀損,120.651208,24.141097,臺中市,南屯區  ,臺中市南屯區大進街與大墩十二街路口有電線垂落在路中央危險
162916,2016-9-28 19:50,梅姬颱風,民生、基礎設施災情,電力停電,120.594148,24.139201,臺中市,南屯區  ,停電已2天，建請派員前往修復
162917,2016-9-28 19:49,梅姬颱風,民生、基礎設施災情,電力停電,120.594629,24.139431,臺中市,南屯區  ,停電已2天，建請派員前往修復
162919,2016-9-28 19:48,梅姬颱風,民生、基礎設施災情,電力停電,120.597335,24.140301,臺中市,南屯區  ,停電已2天，建請派員前往修復
162922,2016-9-28 19:45,梅姬颱風,民生、基礎設施災情,自來水停水,120.733591,24.157015,臺中市,太平區  ,太平區長安路大範圍停水
162924,2016-9-28 19:45,梅姬颱風,民生、基礎設施災情,電力停電,120.610362,24.140234,臺中市,南屯區  ,已停電超過30小時，希望盡速復電
162925,2016-9-28 19:45,梅姬颱風,民生、基礎設施災情,電線（桿）毀損,120.234059,23.003197,臺南市,永康區  ,電線掉落請處理
162928,2016-9-28 19:42,梅姬颱風,民生、基礎設施災情,電力停電,120.612109,24.138966,臺中市,南屯區  ,香草天籟社區停電
162929,2016-9-28 19:42,梅姬颱風,民生、基礎設施災情,電力停電,120.552689,24.274222,臺中市,清水區  ,停電
162930,2016-9-28 19:41,梅姬颱風,民生、基礎設施災情,電力停電,120.624255,24.109263,臺中市,烏日區  ,停電超過24小時，建請派員修復。撥打台電客服不通，建請協助。
162931,2016-9-28 19:40,梅姬颱風,民生、基礎設施災情,電線（桿）毀損,120.567822,24.197162,臺中市,沙鹿區  ,有一電線垂落，附近住戶亦停電，請盡快修復
162933,2016-9-28 19:39,梅姬颱風,民生、基礎設施災情,電力停電,120.447549,22.84274,高雄市,旗山區  ,新光里三龍寺停水停電
162934,2016-9-28 19:39,梅姬颱風,民生、基礎設施災情,電力停電,120.181141,22.938827,臺南市,南區   ,早上停電至今請處理
162936,2016-9-28 19:39,梅姬颱風,民生、基礎設施災情,電力停電,120.747244,24.193539,臺中市,北屯區  ,(停電)
162939,2016-9-28 19:38,梅姬颱風,民生、基礎設施災情,電力停電,120.38476,22.687855,高雄市,鳥松區  ,停電
162941,2016-9-28 19:37,梅姬颱風,民生、基礎設施災情,電線（桿）毀損,120.612109,24.138966,臺中市,南屯區  ,停電已2天，建請派員前往修復
162942,2016-9-28 19:36,梅姬颱風,民生、基礎設施災情,電線（桿）毀損,120.660384,24.11637,臺中市,南區   ,一條電線斷裂垂到地面
162943,2016-9-28 19:35,梅姬颱風,民生、基礎設施災情,電力停電,120.612109,24.138966,臺中市,南屯區  ,昨天晚上11點開始停電，早上有供電2小時後開始停電，目前還是沒電可用
162946,2016-9-28 19:35,梅姬颱風,民生、基礎設施災情,電力停電,120.723046,24.299684,臺中市,后里區  ,9月27日晚上11點停電至今，該處附近皆有電，僅陳情人社區沒電，恐有治安問題，請盡速復電。
162948,2016-9-28 19:34,梅姬颱風,民生、基礎設施災情,電力停電,120.664798,24.08421,臺中市,大里區  ,停電很久了
162949,2016-9-28 19:34,梅姬颱風,民生、基礎設施災情,電力停電,120.583287,24.224491,臺中市,沙鹿區  ,停電、停水30小時以上，建請協處
162951,2016-9-28 19:33,梅姬颱風,民生、基礎設施災情,電力停電,120.706921,24.31815,臺中市,后里區  ,停電很久了
162952,2016-9-28 19:33,梅姬颱風,民生、基礎設施災情,電力停電,120.568014,24.197228,臺中市,沙鹿區  ,附近大範圍停電。
162953,2016-9-28 19:33,梅姬颱風,民生、基礎設施災情,電力停電,120.701878,24.248961,臺中市,豐原區  ,路燈、交通號誌及住家都沒電，請盡快修復 
162955,2016-9-28 19:32,梅姬颱風,民生、基礎設施災情,電線（桿）毀損,120.660565,24.183012,臺中市,北屯區  ,後面路燈桿倒塌壓到民宅
162956,2016-9-28 19:32,梅姬颱風,民生、基礎設施災情,電力停電,120.617533,24.182818,臺中市,西屯區  ,停電已達兩天，建請派員前往修復
162957,2016-9-28 19:31,梅姬颱風,民生、基礎設施災情,電線（桿）毀損,120.666102,24.14613,臺中市,西區   ,電線垂落，影響住戶出入
162958,2016-9-28 19:31,梅姬颱風,民生、基礎設施災情,電力停電,120.569368,24.207924,臺中市,沙鹿區  ,該址工廠仍尚未復電，早上曾通報沙鹿營業所，但後續再撥打即無人接聽，欲確認何時可以復電，以利判斷通知員工明天是否要上班，請人員接到此案務必回電民眾。
162959,2016-9-28 19:31,梅姬颱風,民生、基礎設施災情,電力停電,120.579801,24.219663,臺中市,沙鹿區  ,停電
162960,2016-9-28 19:31,梅姬颱風,民生、基礎設施災情,電力停電,120.650635,24.171191,臺中市,西屯區  ,停電
162961,2016-9-28 19:31,梅姬颱風,民生、基礎設施災情,電力停電,120.447549,22.84274,高雄市,旗山區  ,新光里6鄰中寮二路停電
162962,2016-9-28 19:30,梅姬颱風,民生、基礎設施災情,電力停電,120.332426,22.853556,高雄市,阿蓮區  ,復安216號(福全堂)周圍停電
162964,2016-9-28 19:28,梅姬颱風,民生、基礎設施災情,電力停電,120.480137,22.89987,高雄市,旗山區  ,永和里旗山農工後慈心療養院停電
162965,2016-9-28 19:27,梅姬颱風,民生、基礎設施災情,自來水停水,120.447549,22.84274,高雄市,旗山區  ,新光里、南洲里停水
162966,2016-9-28 19:27,梅姬颱風,民生、基礎設施災情,電力停電,120.523228,24.19811,臺中市,龍井區  ,9月27日中午開始停電至今
162967,2016-9-28 19:26,梅姬颱風,民生、基礎設施災情,電力停電,120.700165,24.163032,臺中市,北屯區  ,周邊都有電只有這戶停電家裡有老人急需用電
162968,2016-9-28 19:25,梅姬颱風,民生、基礎設施災情,自來水停水,120.480137,22.89987,高雄市,旗山區  ,永和里街內停水
162970,2016-9-28 19:24,梅姬颱風,民生、基礎設施災情,自來水停水,120.472966,22.849718,高雄市,旗山區  ,大山里中洲路停水
162971,2016-9-28 19:24,梅姬颱風,民生、基礎設施災情,電力停電,120.580396,24.208253,臺中市,沙鹿區  ,該地點已停電2天，建請盡速派員前往修復
162972,2016-9-28 19:23,梅姬颱風,民生、基礎設施災情,電力停電,120.49568,22.919705,高雄市,旗山區  ,圓富里泰山二巷停電
162973,2016-9-28 19:23,梅姬颱風,民生、基礎設施災情,電力停電,120.558331,24.233448,臺中市,沙鹿區  ,停電
162974,2016-9-28 19:23,梅姬颱風,民生、基礎設施災情,電力停電,120.614745,24.139808,臺中市,南屯區  ,9月27日停電至今
162975,2016-9-28 19:22,梅姬颱風,民生、基礎設施災情,電力停電,120.612109,24.138966,臺中市,南屯區  ,南屯區義芳街25號、27號、29號停電，曾復電但又跳掉，但周遭部分已復電
162976,2016-9-28 19:22,梅姬颱風,民生、基礎設施災情,電力停電,120.688576,24.219108,臺中市,潭子區  ,周遭都停電，已有兩天
162977,2016-9-28 19:22,梅姬颱風,民生、基礎設施災情,電力停電,120.612292,24.148914,臺中市,南屯區  ,停電時間已達兩天，家中有新生兒，已經沒有母奶可以喝，希望盡快派員修復
162978,2016-9-28 19:21,梅姬颱風,民生、基礎設施災情,電線（桿）毀損,120.583332,24.084308,彰化縣,彰化市  ,2016/09/28 19:21:46 - 鐵片卡在電線上
162979,2016-9-28 19:21,梅姬颱風,民生、基礎設施災情,電力停電,120.618167,24.097245,臺中市,烏日區  ,東園里慶光路1000號烏日焚化廠附近
162981,2016-9-28 19:21,梅姬颱風,民生、基礎設施災情,電力停電,120.688619,24.219099,臺中市,潭子區  ,潭子區崇德路五段113巷(天母社區)，住家內都沒電，請盡快修復
162983,2016-9-28 19:20,梅姬颱風,民生、基礎設施災情,自來水停水,120.704462,24.097996,臺中市,大里區  ,附近大範圍停水，曾自行洽自來水公司，人員表示因水源混濁，預計下午五點過後恢復供水，但至今仍然停水，建請儘速恢復供水。
162985,2016-9-28 19:20,梅姬颱風,民生、基礎設施災情,電力停電,120.499165,22.92504,高雄市,旗山區  ,"圓富里旗甲路二段490號附近電箱爆炸,約10戶停電"
162986,2016-9-28 19:20,梅姬颱風,民生、基礎設施災情,電力停電,120.716899,24.191153,臺中市,潭子區  ,停電
162987,2016-9-28 19:19,梅姬颱風,民生、基礎設施災情,電力停電,120.571499,24.219877,臺中市,沙鹿區  ,請盡速前往修復平等幹5右2，已兩天沒電，已造成生活極大不便
162989,2016-9-28 19:18,梅姬颱風,民生、基礎設施災情,電線（桿）毀損,120.468507,22.856964,高雄市,旗山區  ,上洲里旗南二路2號高壓電線掉落
162993,2016-9-28 19:17,梅姬颱風,民生、基礎設施災情,電線（桿）毀損,120.655729,24.201933,臺中市,西屯區  , 電線桿起火
162994,2016-9-28 19:17,梅姬颱風,民生、基礎設施災情,電線（桿）毀損,120.622426,24.081895,臺中市,烏日區  ,登寺巷62號旁電線掉落
162997,2016-9-28 19:16,梅姬颱風,民生、基礎設施災情,自來水停水,120.668921,24.261572,臺中市,神岡區  ,停水、停電
163002,2016-9-28 19:15,梅姬颱風,積淹水災情,房屋積淹水,120.202842,23.038902,臺南市,安南區  ,地下室淹水請處理
163009,2016-9-28 19:13,梅姬颱風,民生、基礎設施災情,電力停電,120.730008,24.18798,臺中市,北屯區  ,電線垂落已兩天，導致20、30戶無電可使用，電線是否會漏電有無危險請盡速處理，並請機或案件後與陳情人回電說明
163016,2016-9-28 19:09,梅姬颱風,民生、基礎設施災情,電力停電,120.639625,24.096893,臺中市,烏日區  ,光明里復光3巷31-1戶附近
163017,2016-9-28 19:09,梅姬颱風,民生、基礎設施災情,電力停電,120.620571,24.330659,臺中市,外埔區  ,停電，請盡快修復
